28. July 2010 | 18:38:18 | - SpawnKill = 3
28. July 2010 | 18:38:18 | - CapsLock = 0
28. July 2010 | 18:38:18 | - 3DSpeed = 0
28. July 2010 | 18:38:18 | - MaxSpeed = 220
28. July 2010 | 18:38:18 | - AdminImmunity = 1
28. July 2010 | 18:38:18 | - Advertisement = 1
28. July 2010 | 18:38:18 | - FreezeUpdate = 0
28. July 2010 | 18:38:18 | - SpawnTime = 10
28. July 2010 | 18:38:18 | - CheckpointTeleport = 1
28. July 2010 | 18:38:18 | - Airbreak = 1
28. July 2010 | 18:38:18 | - TankMode = 1
28. July 2010 | 18:38:18 | - WarnPlayers = 0
28. July 2010 | 18:38:18 | 1 IP-bans have been loaded.
28. July 2010 | 18:38:18 | 1 temporary bans have been loaded.
28. July 2010 | 18:38:18 | 5 whitelist entries have been loaded.
28. July 2010 | 18:38:18 | 4 blacklist entries have been loaded.
28. July 2010 | 18:38:18 | 41 bad words have been loaded.
28. July 2010 | 18:38:18 | 4 forbidden weapons have been loaded.
28. July 2010 | 18:38:18 | JunkBuster has been configurated.
28. July 2010 | 18:38:18 | JunkBuster has successfully been loaded.
30. July 2010 | 19:19:23 | Current JunkBuster configuration:
30. July 2010 | 19:19:23 | - WeaponHack = 1
30. July 2010 | 19:19:23 | - MoneyHack = 1
30. July 2010 | 19:19:23 | - Jetpack = 1
30. July 2010 | 19:19:23 | - HealthHack = 1
30. July 2010 | 19:19:23 | - ArmourHack = 1
30. July 2010 | 19:19:23 | - DriveBy = 1
30. July 2010 | 19:19:23 | - Spam = 0
30. July 2010 | 19:19:23 | - CommandSpam = 0
30. July 2010 | 19:19:23 | - BadWords = 0
30. July 2010 | 19:19:23 | - CarJackHack = 1
30. July 2010 | 19:19:23 | - TeleportHack = 1
30. July 2010 | 19:19:23 | - MaxPing = 500
30. July 2010 | 19:19:23 | - SpectateHack = 0
30. July 2010 | 19:19:23 | - Blacklist = 1
30. July 2010 | 19:19:23 | - IpBans = 1
30. July 2010 | 19:19:23 | - TempBans = 1
30. July 2010 | 19:19:23 | - SpawnKill = 3
30. July 2010 | 19:19:23 | - CapsLock = 0
30. July 2010 | 19:19:23 | - 3DSpeed = 0
30. July 2010 | 19:19:23 | - MaxSpeed = 220
30. July 2010 | 19:19:23 | - AdminImmunity = 1
30. July 2010 | 19:19:23 | - Advertisement = 1
30. July 2010 | 19:19:23 | - FreezeUpdate = 0
30. July 2010 | 19:19:23 | - SpawnTime = 10
30. July 2010 | 19:19:23 | - CheckpointTeleport = 1
30. July 2010 | 19:19:23 | - Airbreak = 1
30. July 2010 | 19:19:23 | - TankMode = 1
30. July 2010 | 19:19:23 | - WarnPlayers = 0
30. July 2010 | 19:19:23 | 1 IP-bans have been loaded.
30. July 2010 | 19:19:23 | 1 temporary bans have been loaded.
30. July 2010 | 19:19:23 | 5 whitelist entries have been loaded.
30. July 2010 | 19:19:23 | 4 blacklist entries have been loaded.
30. July 2010 | 19:19:23 | 41 bad words have been loaded.
30. July 2010 | 19:19:23 | 4 forbidden weapons have been loaded.
30. July 2010 | 19:19:23 | JunkBuster has been configurated.
30. July 2010 | 19:19:23 | JunkBuster has successfully been loaded.
18. Septembre 2010 | 19:38:22 | Current JunkBuster configuration:
18. Septembre 2010 | 19:38:22 | - WeaponHack = 1
18. Septembre 2010 | 19:38:22 | - MoneyHack = 1
18. Septembre 2010 | 19:38:22 | - Jetpack = 1
18. Septembre 2010 | 19:38:22 | - HealthHack = 1
18. Septembre 2010 | 19:38:22 | - ArmourHack = 1
18. Septembre 2010 | 19:38:22 | - DriveBy = 1
18. Septembre 2010 | 19:38:22 | - Spam = 0
18. Septembre 2010 | 19:38:22 | - CommandSpam = 0
18. Septembre 2010 | 19:38:22 | - BadWords = 0
18. Septembre 2010 | 19:38:22 | - CarJackHack = 1
18. Septembre 2010 | 19:38:22 | - TeleportHack = 1
18. Septembre 2010 | 19:38:22 | - MaxPing = 500
18. Septembre 2010 | 19:38:22 | - SpectateHack = 0
18. Septembre 2010 | 19:38:22 | - Blacklist = 1
18. Septembre 2010 | 19:38:22 | - IpBans = 1
18. Septembre 2010 | 19:38:22 | - TempBans = 1
18. Septembre 2010 | 19:38:22 | - SpawnKill = 3
18. Septembre 2010 | 19:38:22 | - CapsLock = 0
18. Septembre 2010 | 19:38:22 | - 3DSpeed = 0
18. Septembre 2010 | 19:38:22 | - MaxSpeed = 220
